mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_22060,CC(=NO)CNC(=O)N,3.92448,0.76771,0.73256,3.2312,73.29,-0.2427,0.0081,0.2509,1560.4805,0.146242,-472.407195,-472.396892,-472.395948,-472.443381,36.694,-1654.684129681,-1664.215363882,-1674.291275895,-1533.641408635
gdb_36591,N#CCCC1(CN1)C#N,2.96878,0.92478,0.76848,4.0953,74.07,-0.2905,0.0042,0.2947,1428.4595,0.124361,-396.927985,-396.919088,-396.918144,-396.962501,31.474,-1627.669867231,-1636.307528616,-1645.197448619,-1519.462215271
gdb_2105,CC1CCOCC1,4.5382,2.20672,1.62776,1.3187,67.35,-0.2438,0.089,0.3328,810.707,0.173694,-310.937414,-310.930499,-310.929555,-310.967853,26.989,-1750.076792843,-1762.623835298,-1773.293998334,-1624.805916155
gdb_58886,CC(O)C12NC1CC=C2,3.24829,1.31143,1.09019,2.3848,79.99,-0.2233,0.0183,0.2416,1170.4212,0.171251,-403.131569,-403.12293,-403.121985,-403.164533,33.765,-1915.610529498,-1927.96492669,-1939.226203204,-1780.047250192
gdb_104379,COC1(C)COCC1=O,2.48264,1.4869,1.20711,1.1359,71.47,-0.2279,-0.0316,0.1963,1108.5084,0.157287,-460.167727,-460.158451,-460.157506,-460.201748,33.965,-1813.8950856521,-1824.9605793581,-1835.6288598671,-1685.47662382
gdb_100410,CC(=NC1CCC1)OC,3.19324,0.87133,0.77441,0.7138,87.33,-0.238,0.0302,0.2681,1583.1143,0.192878,-404.346994,-404.336745,-404.3358,-404.384147,36.335,-2050.449035909,-2063.570249099,-2076.017517623,-1904.143430032
gdb_12926,COC1C2CCC12C,3.31887,1.67979,1.39112,1.0143,75.77,-0.235,0.0901,0.3251,1000.8202,0.176329,-348.969186,-348.960697,-348.959753,-349.001841,31.69,-1866.165957843,-1878.614481385,-1889.877012917,-1733.158522694
gdb_102170,CN(C)C(CO)CC#N,1.93101,1.23887,0.94584,5.7197,79.65,-0.2137,0.0445,0.2582,1346.8468,0.180352,-420.3975,-420.386593,-420.385649,-420.434196,38.342,-1933.537834119,-1945.356966134,-1957.211866162,-1793.322830596
gdb_54012,CC(=N)N(C=O)C(=O)C,2.18911,1.49301,1.0224,1.2112,72.04,-0.2766,-0.0447,0.2319,1184.657,0.133129,-455.200859,-455.191083,-455.190139,-455.236151,34.099,-1674.153223915,-1683.127230124,-1692.610146132,-1559.543097628
gdb_44198,O=C1OC2C(OC12)C#N,5.87957,1.05672,0.97123,1.5161,59.33,-0.2935,-0.0477,0.2459,1112.2334,0.077504,-472.611833,-472.604837,-472.603893,-472.643852,25.08,-1317.4902860041,-1323.766003513,-1330.2839394961,-1234.305810437
gdb_25916,c1cn(cc1N)C(=O)N,4.265,1.08482,0.87063,2.5025,75.61,-0.1895,-0.0043,0.1852,1266.6797,0.126356,-434.133381,-434.125064,-434.12412,-434.166248,31.86,-1619.881853032,-1628.882842128,-1637.772762131,-1510.383415059
gdb_86672,CC1OC(C=O)C1(C)O,2.35406,1.32566,1.12314,2.0901,72.21,-0.2472,-0.035,0.2121,1177.6588,0.15509,-460.156917,-460.147019,-460.146075,-460.191843,35.936,-1807.1117133621,-1817.78689647,-1828.455804488,-1679.261147175
gdb_82584,OC1C2CN=C3NC1C23,2.38824,2.27892,1.846,3.5965,71.56,-0.2462,-0.0333,0.2129,834.6255,0.138358,-417.929686,-417.923074,-417.92213,-417.960264,27.559,-1640.665578621,-1651.6256508151,-1661.108566823,-1523.35339858
gdb_31320,CCc1cc[nH]c1C=O,2.24097,1.40615,0.92315,2.7648,84.51,-0.2249,-0.0413,0.1836,1270.6498,0.148661,-402.015553,-402.006897,-402.005953,-402.049698,31.724,-1843.152065268,-1853.718689319,-1863.794601332,-1721.700835863
gdb_14132,CN(C)C12CC1OC2,3.85342,1.59601,1.44536,2.0879,71.3,-0.2097,0.0735,0.2832,955.4481,0.16437,-364.993,-364.984793,-364.983849,-365.02579,30.804,-1732.505285825,-1744.2415866521,-1754.911122179,-1605.959938358
gdb_6096,CC([NH3+])CCC([O-])=O,4.37515,1.11029,0.9398,6.9227,68.51,-0.2367,0.0362,0.2729,1238.8308,0.165678,-402.244586,-402.235719,-402.234775,-402.278391,32.438,-1753.7019123361,-1765.0234297141,-1775.6929652411,-1627.5374628321
gdb_92667,OC1CN2CCOCC12,2.55934,1.73874,1.41144,1.9834,73.48,-0.2099,0.0709,0.2808,999.0181,0.173911,-440.252711,-440.245085,-440.244141,-440.284682,30.512,-1854.952372013,-1867.941808313,-1879.203712336,-1718.509952598
gdb_92548,CC1CC2OCC2C=C1,3.24398,1.29447,1.02779,1.6987,83.76,-0.2387,0.0165,0.2552,1216.9411,0.184572,-387.089911,-387.081845,-387.080901,-387.122524,31.799,-2038.07393092,-2051.677071022,-2063.53197105,-1895.913021988
gdb_30166,CC1CC2=C(N1)N=CN2,3.82569,1.35972,1.13528,3.5994,78.21,-0.1732,0.0344,0.2076,1095.937,0.151558,-398.160763,-398.153235,-398.152291,-398.192735,29.571,-1773.397537319,-1784.671364013,-1794.747276026,-1650.2225406911
gdb_48486,O=CC1(CCOC1)C#N,2.0925,1.60215,1.17468,2.9968,69.49,-0.279,-0.0554,0.2236,1078.134,0.124183,-437.904058,-437.895634,-437.89469,-437.93818,29.805,-1636.8547164641,-1645.789189606,-1654.6791096091,-1528.5039924521
gdb_111424,OCC1C2CC2C1CO,1.88515,1.51567,0.97075,2.1822,78.07,-0.2504,0.072,0.3224,1267.5928,0.182351,-424.177514,-424.16811,-424.167166,-424.211793,35.253,-1956.369749084,-1969.1326546351,-1980.987554663,-1814.998246474
gdb_58433,CC(O)C1(C)C2CC1O2,2.77244,1.29538,1.20247,1.6947,77.88,-0.236,0.0728,0.3088,1155.6787,0.180677,-424.149055,-424.139856,-424.138912,-424.182941,35.734,-1938.511470453,-1951.403015349,-1963.257915377,-1796.8933568061
gdb_111811,OCC1C2CCC1OC2,2.79717,1.33678,1.2797,2.8969,76.93,-0.2337,0.0702,0.3039,1112.0329,0.185455,-424.229914,-424.221941,-424.220997,-424.262436,31.572,-1989.2512206841,-2002.9120916141,-2014.766991642,-1846.7771847611
gdb_99463,COC(C#C)C(=O)C#C,1.68738,1.49074,1.17687,1.9132,74.87,-0.2547,-0.071,0.1837,1165.9302,0.10727,-420.541707,-420.53166,-420.530716,-420.577542,34.562,-1558.422994063,-1565.4510948631,-1573.748018861,-1458.1407807731
gdb_36866,C(C1CN1)C1=NCCO1,4.33646,0.97327,0.86734,1.5721,77.15,-0.243,0.0221,0.2652,1368.6485,0.161273,-419.19734,-419.188829,-419.187885,-419.232078,30.487,-1808.278252593,-1819.823790684,-1830.492698702,-1680.20554822
gdb_65475,CC1(CC2(C)CO2)CO1,2.96389,1.1239,1.06795,2.1199,78.19,-0.2585,0.0831,0.3417,1267.0975,0.179777,-424.193924,-424.184295,-424.183351,-424.228494,36.216,-1966.6671717741,-1979.2888878001,-1991.1437878281,-1825.4782742831
gdb_60420,CC(C)CCCC(=O)C,4.22165,0.55295,0.51054,2.4814,90.59,-0.2411,-0.0069,0.2342,2254.8676,0.225324,-389.531255,-389.519406,-389.518462,-389.56999,41.702,-2314.3360231881,-2329.1195077191,-2343.346391767,-2149.2748008101
gdb_11617,CC(C)CCC1CO1,5.05835,0.83612,0.75884,1.684,79.18,-0.2619,0.0848,0.3468,1555.373,0.198549,-350.193682,-350.184013,-350.183069,-350.228843,34.824,-2006.6965983931,-2020.1817668031,-2032.630290345,-1861.890739026
gdb_101435,CC1OCC1C(O)CO,2.88362,1.01162,0.82639,2.2376,74.44,-0.2484,0.0529,0.3013,1420.5343,0.181132,-461.335401,-461.32543,-461.324485,-461.370979,36.307,-1918.7694098041,-1931.175890243,-1943.030162762,-1777.957017713
gdb_162,C1C2CCC12,9.13872,6.09542,4.76786,0.2527,48.92,-0.2519,0.0987,0.3506,350.7167,0.116089,-195.179738,-195.175335,-195.174391,-195.206606,16.868,-1219.685478246,-1228.476879336,-1235.59032136,-1137.425950945
gdb_111080,COC1C2CC1C(=N)O2,3.89881,1.13516,1.11022,3.3605,74.13,-0.2472,0.0288,0.2761,1166.7743,0.148589,-439.060312,-439.05248,-439.051536,-439.09289,29.943,-1734.5628878361,-1745.645951794,-1755.721863807,-1611.8723281561
gdb_78578,CC1C2C3C(C#N)C2N13,4.99344,1.08427,1.0259,5.4456,77.89,-0.2495,0.0216,0.2711,1182.5768,0.136469,-380.785663,-380.778152,-380.777207,-380.817652,28.908,-1686.9657026771,-1697.3622717891,-1706.844560288,-1570.7949615071
gdb_7474,C#CCC1(COC1)O,4.16262,1.39287,1.30223,2.0247,65.91,-0.2502,0.0318,0.282,973.5452,0.128398,-383.680071,-383.671911,-383.670967,-383.712749,30.129,-1548.7530803731,-1557.853215891,-1566.743763403,-1442.245977803
gdb_65664,CC1(NC=O)C2CC1C2,2.97964,1.3672,1.22409,3.4467,79.83,-0.2475,0.0314,0.2789,1107.576,0.171576,-403.12168,-403.113275,-403.112331,-403.15472,32.662,-1909.4050929971,-1921.906327295,-1933.168231318,-1773.889504375
gdb_94465,CC1OCC11CCOC1,3.00975,1.24956,1.09451,1.7025,77.47,-0.2454,0.0677,0.3131,1195.9993,0.183284,-424.212776,-424.204099,-424.203155,-424.247412,32.383,-1978.4969714421,-1991.7160760361,-2003.570976064,-1837.349489545
gdb_81167,CN1C2CC1(CC2)C=O,2.46832,1.62095,1.25619,2.1949,79.53,-0.221,-0.0314,0.1896,1076.0838,0.17126,-403.123196,-403.114879,-403.113935,-403.156084,32.167,-1910.356396641,-1922.912851731,-1934.174755754,-1774.7454266511
gdb_2759,NC1COC1C#N,3.92029,2.59947,1.81594,3.3923,53.86,-0.2611,-0.0031,0.258,686.827,0.102749,-340.614465,-340.607735,-340.606791,-340.645368,23.859,-1250.900285942,-1258.23084608,-1265.343033086,-1165.417244908
gdb_32167,c1cnc(nc1N)CO,3.78429,1.17174,0.89995,5.4582,75.52,-0.2439,-0.0272,0.2167,1232.2707,0.126399,-434.132867,-434.124784,-434.12384,-434.165686,30.422,-1619.559313406,-1628.707139608,-1637.597059611,-1510.030755001
gdb_74080,NC1=CC(=O)C2(O)CC12,2.81094,1.55563,1.14062,5.7516,74.16,-0.2198,-0.0266,0.1932,1051.8312,0.124516,-437.910353,-437.902251,-437.901306,-437.942493,31.675,-1640.804885619,-1649.941416659,-1658.830709153,-1531.210438769
gdb_100925,COC(C)C(OC)C=O,1.94691,1.24625,0.91287,1.9664,76.52,-0.2397,-0.0242,0.2155,1394.2769,0.177487,-461.346471,-461.335148,-461.334204,-461.383916,38.416,-1925.7159344341,-1937.2740227051,-1949.1289227331,-1786.0751016461
gdb_25649,CC#Cc1nc(co1)O,6.39698,0.76662,0.68752,1.7087,81.17,-0.2118,-0.0309,0.1809,1571.3188,0.100241,-436.696793,-436.688252,-436.687308,-436.73273,29.797,-1507.1366834931,-1514.220632594,-1521.924560587,-1413.295850088
gdb_117377,CCOC(=O)CN1CC1,4.96756,0.75022,0.71219,2.1097,77.04,-0.2362,0.0159,0.2522,1659.621,0.169226,-440.28565,-440.275824,-440.27488,-440.321846,34.583,-1875.621890964,-1887.230807464,-1898.492711487,-1741.830697074
gdb_112123,COC1C=CCCC1O,2.18222,1.53133,1.04,2.2258,80.8,-0.2471,0.0085,0.2556,1221.2183,0.183293,-424.231207,-424.222174,-424.22123,-424.264978,34.396,-1990.0625898211,-2003.0583012111,-2014.913201239,-1848.372312639
gdb_69010,CC12CC1(CC2=O)C#C,2.77011,1.33944,1.13839,2.6589,82.08,-0.2434,-0.0194,0.224,1123.4612,0.133467,-384.658568,-384.649737,-384.648793,-384.691991,33.22,-1768.0875561611,-1777.6564409021,-1787.13935691,-1653.176853063
gdb_64696,CC1(CC#C)CC1C=O,4.41334,0.80286,0.77755,2.8266,83.81,-0.2477,-0.0213,0.2264,1492.5515,0.155896,-385.859208,-385.849399,-385.848455,-385.894087,36.009,-1893.6483420071,-1904.3806284341,-1915.049536452,-1766.2803302411
gdb_55801,CC(=O)OC1C2CC1O2,4.33409,1.02994,0.95277,2.8983,69.13,-0.2487,0.0067,0.2555,1256.5429,0.134098,-458.924272,-458.915881,-458.914937,-458.958823,30.188,-1661.4675019711,-1671.311235654,-1680.794151662,-1546.752581681
gdb_81310,OC1C2CNC(=O)C1O2,2.38557,1.74699,1.61995,3.4599,64.04,-0.2309,0.0128,0.2437,916.6305,0.126104,-475.032034,-475.024577,-475.023633,-475.063845,28.753,-1580.4849554851,-1590.025602321,-1598.915522324,-1470.4280345021
gdb_132388,c1c(nc(nc1F)N)O,2.05588,1.83391,0.96954,2.7671,64.4,-0.2313,-0.0075,0.2239,1087.6391,0.090915,-494.12059,-494.113371,-494.112426,-494.15217,27.89,-1378.962322662,-1385.986030899,-1393.096335378,-1288.543923343
gdb_115627,CN1CC11CCC1CO,2.7176,1.10942,0.97126,1.2227,83.02,-0.2245,0.0785,0.303,1338.3809,0.193059,-404.299637,-404.28985,-404.288906,-404.334566,36.282,-2020.7320921961,-2034.1432145441,-2046.591110577,-1873.030906303
gdb_77596,OC1C2(O)CC2C11CO1,2.7381,1.43648,1.21662,2.8189,68.69,-0.2439,0.0612,0.3051,1061.488,0.133639,-458.894875,-458.886283,-458.885339,-458.927791,32.617,-1643.0206198981,-1652.738224272,-1662.22114028,-1527.279722393
gdb_108229,CCC12COC1(C)C2C,2.12365,1.41633,1.11124,1.8359,86.22,-0.219,0.0719,0.2908,1263.696,0.203809,-388.264095,-388.253977,-388.253033,-388.298815,37.894,-2147.033338662,-2161.1259357841,-2174.166827822,-1992.823629421
gdb_130721,c1n[nH]c(=O)n1C2CC2,3.22498,1.35827,1.03515,2.8012,70.54,-0.2194,0.012,0.2315,1126.8306,0.126289,-434.088365,-434.080624,-434.07968,-434.12172,28.689,-1591.633907888,-1600.996342168,-1609.886262171,-1482.441694307
gdb_40818,C1OC1C1OCCC=C1,3.99983,1.07882,0.90228,1.604,78.17,-0.2477,0.0165,0.2643,1297.3932,0.16003,-423.004156,-422.99609,-422.995146,-423.037367,30.558,-1847.9286637761,-1859.754070881,-1870.422978899,-1719.2579433261
gdb_39895,C1CC11C2CCC1CC2,2.46494,1.72263,1.53277,0.0217,87.81,-0.2703,0.0803,0.3506,1035.4755,0.209924,-351.168275,-351.160747,-351.159803,-351.199765,31.803,-2223.581279045,-2239.2997519861,-2252.340644024,-2067.6007394061
gdb_1033,c1cocc1C=O,8.20067,1.98937,1.60099,3.0141,54.04,-0.2469,-0.0513,0.1956,697.2754,0.079382,-343.290242,-343.284619,-343.283675,-343.319839,20.026,-1208.665165188,-1214.91389981,-1220.840094806,-1136.0937493381
gdb_109643,NC1(C#N)C(O)C1CO,2.93732,1.0702,0.99525,2.8541,70.15,-0.2675,0.0083,0.2758,1233.6818,0.135894,-455.12323,-455.114024,-455.11308,-455.157168,34.104,-1625.440327754,-1634.772014093,-1644.254930101,-1509.980554281
gdb_105202,CCC1(OC1C)C(N)=O,1.95063,1.458,1.08482,2.3152,75.71,-0.2414,0.0209,0.2622,1236.6947,0.168746,-440.316797,-440.306566,-440.305622,-440.352113,37.298,-1895.1669137871,-1906.521689142,-1917.783593165,-1760.823511977
gdb_67484,CC12C3CC3N1C2C#C,2.56061,1.63374,1.23117,1.5103,83.03,-0.217,0.0245,0.2415,1066.7789,0.14576,-364.685941,-364.677676,-364.676732,-364.718217,32.83,-1772.9934215231,-1783.8060291021,-1793.881941115,-1650.625401469
gdb_110343,COC1C2C1C(=O)C2O,2.91834,1.24785,1.08785,2.938,69.58,-0.2397,-0.0165,0.2232,1159.9069,0.133897,-458.927775,-458.918887,-458.917943,-458.961925,32.026,-1663.6656659981,-1673.197527708,-1682.680443716,-1548.699114599
gdb_78194,CC1C2C1C(C#C)C2O,3.02601,1.23838,1.04834,1.6239,81.91,-0.2508,0.0369,0.2877,1204.1076,0.157706,-385.822411,-385.813439,-385.812494,-385.855652,34.643,-1870.5578933341,-1881.8154047941,-1892.483685303,-1742.1620218261
gdb_114245,OCC1CC2(CC2O)C1,2.87397,1.03606,0.89278,0.8544,79.25,-0.231,0.0726,0.3036,1372.3656,0.180746,-424.184959,-424.175102,-424.174158,-424.220447,36.256,-1961.0415535891,-1973.5201975631,-1985.375097591,-1820.42870936
gdb_108839,COC1=NC(C)C2CN12,2.92794,1.38156,1.05685,1.1704,76.62,-0.2361,0.0331,0.2692,1184.6435,0.16014,-419.197666,-419.189159,-419.188215,-419.230731,31.817,-1808.4828205271,-1820.0308686541,-1830.699776672,-1679.360293597
gdb_20095,C1CC1C12CC1CO2,4.33142,1.65563,1.48012,1.5101,72.28,-0.2239,0.0785,0.3024,916.5813,0.154275,-347.746061,-347.738921,-347.737977,-347.777515,27.902,-1726.495632132,-1738.0135598271,-1748.090099349,-1606.1055204461
gdb_113460,CCC1OC11CC2CC12,4.32904,0.93746,0.9292,1.5933,83.38,-0.2476,0.0863,0.334,1392.7765,0.181802,-387.04723,-387.038496,-387.037552,-387.08081,33.639,-2011.2912192911,-2024.475183381,-2036.330083409,-1869.737111562
gdb_86713,CC1NC(C=O)C2OC12,3.37676,1.17978,1.00542,3.7119,72.6,-0.2314,-0.0243,0.2071,1202.9243,0.146947,-439.071987,-439.06354,-439.062596,-439.105609,31.341,-1741.889055411,-1752.586201334,-1762.662113347,-1619.853615127
gdb_93245,CC1COC(=O)C(C)N1,2.71592,1.33846,0.95328,3.9142,75.63,-0.2247,0.0109,0.2356,1258.0987,0.171423,-440.323693,-440.314612,-440.313668,-440.357614,33.953,-1899.4942158511,-1911.570626556,-1922.832530579,-1764.275438986
gdb_55408,CC(=O)[C-]1C[NH2+]CC1=O,2.52874,1.41782,0.93936,9.2816,80.76,-0.1813,-0.0073,0.174,1223.0133,0.148544,-439.086725,-439.077767,-439.076823,-439.121542,32.109,-1751.1372830531,-1761.513771877,-1771.58968389,-1629.851716024
gdb_11242,CC1=CCC(C1)C=O,5.1591,1.17938,1.00889,3.0313,75.36,-0.239,-0.0177,0.2213,1159.3606,0.153215,-347.836752,-347.828585,-347.827641,-347.869922,29.63,-1783.405050851,-1794.278526803,-1804.355066325,-1664.091744609
gdb_128604,COc1c[nH]nc1OC,2.76121,1.32188,0.90417,2.5907,72.41,-0.1949,0.0353,0.2303,1269.4305,0.13579,-455.135558,-455.126361,-455.125417,-455.169885,32.307,-1633.176258706,-1642.513592626,-1651.996508634,-1517.9605862341
gdb_32535,COc1cocc1CO,2.60344,1.25964,0.85807,2.0886,71.1,-0.2059,0.0321,0.238,1304.8305,0.135199,-458.96447,-458.955431,-458.954487,-458.998989,32.155,-1686.6921087531,-1696.129216604,-1705.612132612,-1571.957108175
gdb_80420,CC1C(O)C2(O)CN1C2,2.48955,1.7606,1.28739,2.5769,73.88,-0.2194,0.0567,0.276,1036.7875,0.171624,-440.247489,-440.239069,-440.238124,-440.279748,33.8,-1851.675520015,-1864.166714169,-1875.4279906831,-1715.413823192
gdb_111276,CC12OC1C(CO)C2O,3.23384,1.25682,1.05691,2.2225,71.45,-0.2431,0.0581,0.3012,1179.3501,0.157714,-460.119476,-460.110429,-460.109485,-460.152847,34.312,-1783.6171488931,-1794.8263421601,-1805.4952501781,-1654.790806211
gdb_71608,CC12OCC3C1CC23O,2.12764,1.99535,1.71753,2.4962,74.86,-0.2304,0.0749,0.3053,942.7348,0.159462,-422.990746,-422.982958,-422.982014,-423.022363,31.486,-1839.5137680861,-1851.5136226931,-1862.182530711,-1709.84279829
gdb_41936,C1CC2COC=NC2C1,3.28659,1.45284,1.06624,2.2294,78.66,-0.2432,0.0256,0.2688,1131.6109,0.175282,-403.175318,-403.16788,-403.166935,-403.20745,29.269,-1943.0634207391,-1956.1714562401,-1967.432732754,-1806.978053945
gdb_50087,O=CC1CC1CC1CC1,3.91735,0.73923,0.68384,3.4253,84.78,-0.2442,-0.0156,0.2286,1683.2159,0.181698,-387.075113,-387.065802,-387.064858,-387.110329,34.369,-2028.788052738,-2041.6099441351,-2053.464844163,-1888.2605497331
gdb_11178,O=C1CCC(O1)C#C,3.97398,1.58491,1.38527,4.1984,62.76,-0.269,0.0079,0.2768,900.0279,0.107131,-382.551415,-382.544295,-382.543351,-382.58309,26.337,-1468.3629023831,-1476.3385417731,-1484.043097275,-1374.597370058
gdb_65350,CC1(CN1C1CC1)C#N,3.01201,1.03472,0.99962,4.7557,82.11,-0.2527,0.0254,0.2781,1301.2953,0.158122,-382.039293,-382.030169,-382.029224,-382.073455,33.919,-1845.778190433,-1856.9396930161,-1867.607973525,-1717.6000645481
gdb_67138,CC12C3CN1C(=O)C23O,2.1889,1.88081,1.51409,4.3668,69.37,-0.2362,-0.0018,0.2344,953.5542,0.123209,-437.833843,-437.825827,-437.824883,-437.866155,30.344,-1592.794172029,-1601.9846688431,-1610.874588846,-1483.307656727
gdb_72866,OC12COC1C(C2)C#N,3.13719,1.24905,1.05959,3.1844,69.24,-0.2667,0.0133,0.28,1125.5987,0.124077,-437.858764,-437.850814,-437.849869,-437.891665,29.881,-1608.4323238181,-1617.664236226,-1626.55352872,-1499.315411317
gdb_132736,Cc1c(cccc1F)N,2.26648,1.77292,1.00191,2.4349,79.94,-0.2037,0.0089,0.2126,1127.635,0.136652,-426.050522,-426.0424,-426.041456,-426.082746,31.889,-1768.5355975871,-1778.5487587001,-1788.031674708,-1652.65162803
gdb_105461,COC1(CC1)CCC#N,2.88258,0.89793,0.76885,4.1332,80.1,-0.2654,0.04,0.3054,1513.7259,0.169285,-403.143253,-403.133381,-403.132437,-403.17876,35.534,-1922.9423446541,-1934.5230232491,-1945.784927272,-1788.9748207351
gdb_112085,COC1C=CCC2NC12,3.18971,1.29231,1.01711,1.9651,81.51,-0.2359,0.0254,0.2613,1220.1632,0.172236,-403.120807,-403.112421,-403.111477,-403.154029,31.999,-1908.8572776401,-1921.370434609,-1932.632338632,-1773.455895656
gdb_10672,NC(=O)C1(CN1)C#N,2.86845,2.17304,1.36331,2.6196,59.73,-0.2805,-0.0133,0.2672,854.8996,0.09615,-394.801263,-394.793652,-394.792708,-394.83324,27.508,-1315.665489832,-1322.443214541,-1329.554774038,-1228.106649026
gdb_13798,C[NH2+]C1CC1C([O-])=O,3.14451,1.62363,1.29112,6.2858,65.34,-0.2475,0.0255,0.2729,983.8007,0.142913,-401.017157,-401.009238,-401.008293,-401.049647,29.165,-1611.3307878891,-1621.4700783111,-1630.952994319,-1497.7121258221
gdb_106367,CC1CC2(CO)CC1C2,2.88031,1.2331,1.07209,1.3387,85.47,-0.2615,0.0745,0.336,1251.9628,0.207088,-388.283705,-388.274831,-388.273887,-388.316919,35.149,-2159.338790152,-2174.2120084701,-2187.252900508,-2004.184052357
gdb_115756,COC1COC1CC#C,3.52898,0.93269,0.78438,2.907,78.58,-0.2455,0.0539,0.2994,1467.8966,0.156476,-422.956769,-422.946965,-422.946021,-422.992535,34.579,-1818.1928947931,-1828.927691256,-1839.596599274,-1691.125459838
gdb_109595,OCC1C(O)C(O)C1O,2.17573,1.51874,1.13214,4.2808,66.37,-0.2503,0.0322,0.2824,1123.8121,0.159442,-497.272271,-497.263379,-497.262435,-497.305694,34.419,-1742.8215337851,-1754.127363438,-1764.796271456,-1613.7717978991
gdb_16413,CC1C=CC2CC1C2,3.40452,2.11085,1.73067,0.2036,79.04,-0.2303,0.0218,0.2521,859.0259,0.179901,-311.870534,-311.863688,-311.862744,-311.900988,28.472,-1940.9367927381,-1954.4169410761,-1965.679472608,-1806.804233952
gdb_85058,CC1OC(=N)C(C)C1O,2.25117,1.57989,1.15983,3.6797,75.93,-0.2533,0.0295,0.2828,1133.8729,0.170674,-440.310505,-440.301093,-440.300149,-440.344586,35.164,-1891.218627159,-1903.0873323851,-1914.349236408,-1756.100251734
gdb_18350,CC1C=CC2OCC12,3.44585,2.12199,1.55992,2.0204,71.68,-0.2393,0.0109,0.2502,858.622,0.155509,-347.795621,-347.788622,-347.787678,-347.826767,27.19,-1757.594978172,-1769.201384636,-1779.277924158,-1637.0115937141
gdb_110911,CCC1C2CC(C=O)C12,2.23836,1.38619,1.06388,2.5439,82.55,-0.24,-0.0197,0.2204,1237.0484,0.181616,-387.070627,-387.061481,-387.060537,-387.105019,33.963,-2025.9730473641,-2038.8984777461,-2050.753377774,-1884.9284769431
gdb_49499,O=CC1C2CC1(N2)C=O,2.25556,1.65651,1.16089,2.3073,70.75,-0.2463,-0.0528,0.1936,1055.8198,0.123144,-437.819208,-437.811121,-437.810177,-437.85269,29.148,-1583.6105778141,-1592.7565214891,-1601.646441492,-1474.858248042
gdb_91919,CC1CC2OC2C(C)O1,2.37656,1.60329,1.07994,2.2272,78.69,-0.2522,0.0829,0.3351,1182.2546,0.182362,-424.226799,-424.218107,-424.217162,-424.259825,33.721,-1987.2965301491,-2000.506222108,-2012.360494627,-1845.138758762
gdb_127179,CN(C=O)c1cnoc1,4.33495,1.05166,0.8509,1.8559,70.18,-0.2377,-0.0246,0.213,1256.7605,0.112954,-453.951483,-453.943404,-453.94246,-453.986424,28.556,-1518.010159445,-1526.271942939,-1534.568866937,-1416.550739271
gdb_72655,CC12CCC1(O)COC2,1.99765,1.82931,1.56827,1.3431,77.1,-0.2455,0.0676,0.3131,1023.2356,0.182446,-424.224947,-424.216135,-424.215191,-424.257933,34.365,-1986.1343834811,-1999.2687743601,-2011.1236743881,-1843.951511734
gdb_111151,CCC1C2OC1C21CC1,3.94285,1.03569,0.9522,1.7765,84.11,-0.2318,0.0867,0.3184,1344.0143,0.181561,-387.000299,-386.991709,-386.990765,-387.033491,33.536,-1981.841594412,-1995.1159197981,-2006.970819826,-1840.0440131911
gdb_126492,CCC1=NON=CC1=N,2.6524,1.49556,0.96758,2.0424,76.61,-0.2627,-0.0746,0.1881,1175.2885,0.123566,-434.004998,-433.996823,-433.995879,-434.038268,30.142,-1539.320365085,-1548.410460459,-1557.300380462,-1430.074813239
gdb_12820,CC12CCOCC1N2,3.44594,1.92962,1.54368,0.7754,70.75,-0.2407,0.0739,0.3146,893.4967,0.167615,-365.046332,-365.039029,-365.038085,-365.07743,28.873,-1765.9715958131,-1778.2751647761,-1788.944700303,-1638.364503118
gdb_12546,OC1CCCC=CC1,3.15585,1.75522,1.21504,1.1329,76.05,-0.2375,0.0188,0.2563,1019.8127,0.178942,-349.017545,-349.00966,-349.008716,-349.049531,30.805,-1896.511665574,-1909.3392045521,-1920.601736084,-1763.0844269041
gdb_60137,CC(O)CC1C2CC1C2,3.86182,0.90895,0.85836,1.3886,86.61,-0.2594,0.0714,0.3309,1474.9352,0.205933,-388.239571,-388.230429,-388.229484,-388.274003,35.469,-2131.6443079461,-2146.349353852,-2159.389618381,-1977.253876113
gdb_94537,CC(C)(C)C1OCC1O,2.28756,1.42672,1.14496,2.4796,81.41,-0.2432,0.0552,0.2984,1211.028,0.203207,-425.41072,-425.40026,-425.399316,-425.445458,39.307,-2102.3659930241,-2116.2433545591,-2129.284246597,-1947.911555273
gdb_8090,OC12CC(C1)CCC2,3.3398,2.08205,1.66227,1.4683,73.54,-0.2502,0.0737,0.3239,861.2122,0.179662,-349.010488,-349.003413,-349.002469,-349.041099,29.39,-1892.083334561,-1905.419155829,-1916.681687361,-1757.793271016
gdb_9275,OCC(O)CCC#N,3.74443,0.93077,0.78583,4.4246,65.27,-0.2726,0.0379,0.3104,1385.8509,0.140694,-401.007408,-400.998097,-400.997153,-401.042033,32.499,-1605.2132026481,-1614.479000542,-1623.962544059,-1492.934272296
